開催日,レース名,場,距離,頭 数,馬 場,タイム,勝ち馬,騎手,調教師
2024/06/30,ＴＶ西日本北,小倉,芝1200,18,稍,1:07.9,ピューロマジック,松山弘平,[西] 安田翔伍
2023/08/20,ＴＶ西日本北,小倉,芝1200,18,良,1:07.3,ジャスパークローネ,団野大成,[西] 森秀行
2022/08/21,ＴＶ西日本北,小倉,芝1200,18,良,1:06.9,ボンボヤージ,川須栄彦,[西] 梅田智之
2021/08/22,ＴＶ西日本北,小倉,芝1200,18,稍,1:08.2,ヨカヨカ,幸英明,[西] 谷潔
2020/08/23,ＴＶ西日本北,小倉,芝1200,18,稍,1:07.8,レッドアンシェル,福永祐一,[西] 庄野靖志
2019/08/18,ＴＶ西日本北,小倉,芝1200,18,良,1:08.2,ダイメイプリンセス,秋山真一,[西] 森田直行
2018/08/19,ＴＶ西日本北,小倉,芝1200,17,良,1:06.6,アレスバローズ,菱田裕二,[西] 角田晃一
2017/08/20,ＴＶ西日本北,小倉,芝1200,18,良,1:07.5,ダイアナヘイロー,武豊,[西] 福島信晴
2016/08/21,ＴＶ西日本北,小倉,芝1200,12,良,1:08.5,バクシンテイオー,藤岡康太,[東] 堀宣行
2015/08/23,ＴＶ西日本北,小倉,芝1200,18,良,1:07.3,ベルカント,武豊,[西] 角田晃一
2014/08/24,ＴＶ西日本北,小倉,芝1200,18,良,1:07.5,リトルゲルダ,丸田恭介,[西] 鮫島一歩
2013/08/18,ＴＶ西日本北,小倉,芝1200,15,良,1:06.7,ツルマルレオン,小牧太,[西] 橋口弘次
2012/08/19,ＴＶ西日本北,小倉,芝1200,18,良,1:06.9,スギノエンデバー,北村友一,[西] 浅見秀一
2011/08/14,ＴＶ西日本北,小倉,芝1200,16,良,1:07.2,トウカイミステリー,北村友一,[西] 安田隆行
2010/08/15,ＴＶ西日本北,小倉,芝1200,18,良,1:07.1,メリッサ,福永祐一,[西] 佐山優
2009/08/16,ＴＶ西日本北,小倉,芝1200,16,良,1:07.5,サンダルフォン,酒井学,[西] 松永幹夫
2008/08/17,ＴＶ西日本北,小倉,芝1200,18,稍,1:07.5,スリープレスナイト,上村洋行,[西] 橋口弘次
2007/08/12,ＴＶ西日本北,小倉,芝1200,16,良,1:07.7,キョウワロアリング,角田晃一,[西] 飯田明弘
2006/08/13,ＴＶ西日本北,小倉,芝1200,14,良,1:08.0,コスモフォーチュン,角田晃一,[西] 宮徹
2005/07/17,ＴＶ西日本北,小倉,芝1800,14,良,1:44.7,メイショウカイドウ,武豊,[西] 坂口正大
2004/07/18,ＴＶ西日本北,小倉,芝1800,13,良,1:44.1,ダイタクバートラム,小牧太,[西] 橋口弘次
2003/07/20,ＴＶ西日本北,小倉,芝1800,10,不,1:49.8,ミレニアムバイオ,武豊,[西] 領家政蔵
2002/07/14,ＴＶ西日本北,小倉,芝1800,16,良,1:45.3,トッププロテクター,和田竜二,[西] 岩元市三
2001/07/15,ＴＶ西日本北,小倉,芝1800,9,良,1:48.3,エイシンプレストン,福永祐一,[西] 北橋修二
2000/07/16,ＴＶ西日本北,小倉,芝1800,14,良,1:46.3,トゥナンテ,幸英明,[西] 松元省一
1999/07/25,ＴＶ西日本北,小倉,芝1800,14,良,1:45.6,エイシンビンセンス,野元昭嘉,[西] 野元昭
1998/07/26,ＴＶ西日本北,阪神,芝2000,14,良,2:02.0,トウショウオリオン,池添謙一,[西] 鶴留明雄
1997/07/20,ＴＶ西日本北,小倉,芝1800,11,良,1:46.5,ダンディコマンド,武豊,[西] 福島信晴
1996/07/21,ＴＶ西日本北,小倉,芝1800,13,良,1:48.2,マジックキス,角田晃一,[西] 渡辺栄
1995/07/23,ＴＶ西日本北,小倉,芝1800,16,重,1:47.3,イナズマタカオー,河内洋,[西] 音無秀孝
